,wod_text_raw
2019-07-04,"<p><a href=""https://www.crossfit.com/workout/2005/07/06#/comments"">J.T.</a></p>

<p>21-15-9 reps for time of:</p>

<p>Handstand push-ups<br />
Ring dips<br />
Push-ups</p>

<p>Post time to comments.<br />
Compare to <a href=""https://www.crossfit.com/workout/2016/06/15#/comments"">160615</a>.</p>
"
2019-07-03,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-07-02,"<p>3 rounds for time of:</p>

<p>750-m row<br />
L-sit for same time as row</p>

<p>Post time to comments.</p>
"
2019-07-01,"<p>Back squat 1-1-1-1-1 reps</p>

<p>Stretch and practice scales before and after.</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190428"">190428</a>.</p>
"
2019-06-30,"<p>Without rest, 2 rounds of:</p>

<p>1-minute support on rings<br />
15-ft. rope climb, legless ascent and descent<br />
1-minute plank hold<br />
15-ft. rope climb, legless ascent and descent<br />
1-minute handstand hold<br />
15-ft. rope climb, legless ascent and descent</p>

<p>Post time to comments.</p>
"
2019-06-29,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-06-28,"<p>Complete as many rounds as possible in 10 minutes of:</p>

<p>400-m run<br />
Max set of strict pull-ups<br />
Max set of strict ring dips</p>

<p>Post number of pull-ups and dips completed each round to comments.</p>
"
2019-06-27,"<p>3 rounds for time of:</p>

<p>1,000-m row<br />
50 wall-ball shots<br />
100-ft. handstand walk<br />
100 double-unders</p>

<p>♀ 14-lb. ball to 9 ft.<br />
♂ 20-lb. ball to 10 ft.</p>

<p>Post time to comments.</p>
"
2019-06-26,"<p>Deadlift 1-1-1-1-1 reps.</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190131"">190131</a>.</p>
"
2019-06-25,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-06-24,"<p>For time:<br />
10 L chest-to-bar pull-ups<br />
10 shoulder presses<br />
15 L pull-ups<br />
20 push presses<br />
20 strict pull-ups<br />
30 push jerks<br />
25 kipping pull-ups</p>

<p>♀ 70 lb. ♂ 105 lb.</p>

<p>Practice scales for 20 minutes.</p>

<p>Post time to comments.</p>
"
2019-06-23,"<p>3 rounds for time of:<br />
21 power cleans<br />
Run 400 m<br />
Plank hold for time equal to run time</p>

<p>♀ 105 lb. ♂ 155 lb.</p>

<p>Stretch for 20 minutes.</p>

<p>Post time to comments.</p>
"
2019-06-22,"<p>Tabata thruster<br />
On odd-numbered rest intervals, hold at the bottom of the squat. On even-numbered rest intervals, hold with the load overhead.</p>

<p>♀ 45 lb. ♂ 65 lb.</p>

<p>3 max-duration L-sits from the floor.</p>

<p>Post Tabata reps and L-sit times to comments.</p>
"
2019-06-21,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-06-20,"<p>For time:<br />
21 bench presses<br />
21 strict L chest-to-bar pull-ups<br />
Run 800 m<br />
15 bench presses<br />
15 strict L chest-to-bar pull-ups<br />
Run 800 m<br />
9 bench presses<br />
9 strict L chest-to-bar pull-ups<br />
Run 800 m</p>

<p>♀ 115 lb. ♂ 175 lb.</p>

<p>Post time to comments.</p>
"
2019-06-19,"<p>3 rounds for time of:</p>

<p>15 thrusters<br />
3 15-ft. rope climbs, legless ascent and descent</p>

<p>♀ 105 lb. ♂ 155 lb.</p>

<p>Post time to comments.</p>
"
2019-06-18,"<p>For time:<br />
2-minute handstand hold<br />
Row 500 m<br />
2-minute plank hold<br />
Row 500 m<br />
2-minute support on rings<br />
Row 500 m</p>

<p>Post time to comments.</p>
"
2019-06-17,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-06-16,"<p><strong><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"">CrossFit Total</a></strong></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190525"">190525</a>.</p>
"
2019-06-15,"<p>4 rounds for time of:</p>

<p>500-m row<br />
L-sit, from the ground, for same time as row</p>

<p>Post time to comments.</p>
"
2019-06-14,"<p>Complete as many rounds as possible in 15 minutes of:</p>

<p>5 strict muscle-ups<br />
10 single-leg squats, alternating</p>

<p>Post rounds completed to comments.</p>
"
2019-06-13,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-06-12,"<p>Run 10,000 meters</p>

<p>Post time to comments.</p>

<p>Compare to <a href=""https://www.crossfit.com/workout/2016/09/19"" target=""_blank"">160919</a>.</p>
"
2019-06-11,"<p>3 rounds for time of:</p>

<p>Row 1,000 meters<br />
30 jumping pull-ups<br />
30 jumping ring dips</p>

<p>Then, practice SLIPS for 20 minutes.</p>

<p>Post time to comments.</p>
"
2019-06-10,"<p>Deadlift 15-12-9-6-3 reps</p>

<p>Post loads to comments.</p>
"
2019-06-09,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-06-08,"<p>For time:</p>

<p>L-sit for a total of 5 minutes</p>

<p>Then, practice controlled descents from a handstand for 20 minutes.</p>

<p>Post L-sit time to comments.</p>
"
2019-06-07,"<p><strong>Strict Nicole</strong></p>

<p>Complete as many rounds as possible in 20 minutes of:<br />
Run 400 meters<br />
Max-rep strict pull-ups</p>

<p>Post number of pull-ups completed for each round to comments.</p>
"
2019-06-06,"<p>Back squat 15-12-9-6-3 reps</p>

<p>Post loads to comments.</p>
"
2019-06-05,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-06-04,"<p>Run 5,000 meters</p>

<p>Practice SLIPS for same duration as 5K run.</p>

<p>Post time to comments.</p>
"
2019-06-03,"<p>3 rounds for time of:</p>

<p>15-ft. rope climb, legless ascent and descent<br />
21 strict push-ups, chest to ground, feet on 20-in. box</p>

<p>Post time to comments.</p>
"
2019-06-02,"<p>For time:</p>

<p>Row 2,000 meters<br />
21 cleans<br />
15 thrusters<br />
Row 1,000 meters<br />
15 cleans<br />
12 thrusters<br />
Row 500 meters<br />
9 cleans<br />
9 thrusters</p>

<p>♀ 95 lb. ♂ 135 lb.</p>

<p>Post time to comments.</p>
"
2019-06-01,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-05-31,"<p>5 rounds for reps of:</p>

<p>2 minutes of strict muscle-ups<br />
3 minutes of rest</p>

<p>Post reps completed to comments.</p>
"
2019-05-30,"<p>Overhead squat 5-3-3-1-1-1 reps</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190327"" target=""_blank"">190327</a>.</p>
"
2019-05-29,"<p>On a continuously running clock, 2 minutes of each for max reps of:</p>

<p>Burpees<br />
Reverse burpees<br />
Double-unders<br />
Row (for calories)<br />
Squat<br />
30-in. box jumps</p>

<p>20 minutes of SLIPS practice, before and after.</p>

<p>Post sum of reps to comments.</p>
"
2019-05-28,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-05-27,"<p><strong>Cindy</strong></p>

<p>Complete as many rounds as possible in 20 minutes of:<br />
5 pull-ups<br />
10 push-ups<br />
15 squats</p>

<p>Post rounds completed to comments.<br />
Compare to <a href=""https://www.crossfit.com/190412"" target=""_blank"">190412</a>.</p>
"
2019-05-26,"<p>7 minutes of scales practice<br />
7 minutes of L-sit practice<br />
7 minutes of handstand practice (inversion)<br />
7 minutes of plank practice<br />
7 minutes of stretching</p>

<p>Post to comments.</p>
"
2019-05-25,"<p><strong><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"">CrossFit Total</a></strong></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190509"">190509</a>.</p>
"
2019-05-24,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-05-23,"<p>On a running clock, row <strong>AND</strong> run 5,000 meters.</p>

<p>Post time to comments.</p>
"
2019-05-22,"<p>2 rounds, at any pace to get the same numbers:</p>

<p>Lunge 100 ft. AFRAP<br />
Handstand walk 100 ft. AFSAP<br />
50 strict pull-ups AFSAP<br />
50 push-ups AFSAP</p>

<p>Post number of reps/sets for each exercise to comments.
AFSAP/AFRAP = As few sets/reps as possible.</p>
"
2019-05-21,"<p>3 rounds for time of:</p>

<p>1,000-m row<br />
15 clean and jerks</p>

<p>♀ 95 lb. ♂ 135 lb.</p>

<p>Post time to comments.</p>
"
2019-05-20,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-05-19,"<p>Complete as many rounds as possible in 20 minutes of:</p>

<p>5 strict L pull-ups<br />
10 ring dips<br />
15 single-leg squats</p>

<p>Post rounds completed to comments. | Compare to <a href=""https://www.crossfit.com/190423"" target=""_blank"">190423</a>.</p>
"
2019-05-18,"<p>3 rounds for time of:</p>

<p>2 legless rope climbs, 15-ft. rope<br />
35 wall-ball shots</p>

<p>♀ 14-lb. ball to 9 ft.<br />
♂ 20-lb. ball to 10 ft.</p>

<p>Post time to comments.</p>
"
2019-05-17,"<p>Deadlift 5-3-3-1-1-1 reps</p>

<p>20 minutes of SLIPS practice, before and after (scales, L-sits, inversion (handstands), planks, and stretching)</p>

<p>Post loads to comments.</p>
"
2019-05-16,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-05-15,"<p>4 rounds for time, alternating arms each round, of:<br />
10 single-arm squat snatches<br />
8 single-arm rows<br />
6 single-arm push presses<br />
4 single-arm Turkish get-ups</p>

<p>♀ 35-lb. dumbbell ♂ 50-lb. dumbbell</p>

<p>Post time to comments.</p>
"
2019-05-14,"<p>Warm up for 20 minutes with scales, L-sits, inversion (handstands), planks, and stretching (SLIPS).</p>

<p>Run or row 5,000 meters.</p>

<p>Post time to comments. | Compare to <a href=""https://www.crossfit.com/190501"" target=""_blank"">190501</a>.</p>
"
2019-05-13,"<p>Handstand walk 400 meters in as few sets as possible (AFSAP).</p>

<p>Multiply time (in seconds) by number of sets and post score to comments.</p>

<p>A $1,000 prize will be awarded for the lowest score (one for men and one for women). Do it on a track, upload video to YouTube, and post a link to <a href=""https://www.crossfit.com/190513"">190513 comments</a> by midnight, Monday, May 20.</p>
"
2019-05-12,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-05-11,"<p><strong>Tabata This!</strong></p>

<p>Tabata row<br />
Rest 1 minute<br />
Tabata squat<br />
Rest 1 minute<br />
Tabata pull-up<br />
Rest 1 minute<br />
Tabata push-up<br />
Rest 1 minute<br />
Tabata sit-up</p>

<p>The Tabata interval is 20 seconds of work followed by 10 seconds of rest for eight intervals. Tabata score is the least number of reps performed in any of the eight intervals. Unit for the row is calories.</p>

<p>Post Tabata score for each exercise and total sum to comments.</p>

<p>Compare to <a href=""https://www.crossfit.com/workout/2015/01/11#/comments"" target=""_blank"">150111</a>.</p>
"
2019-05-10,"<p>Warm up for 20 minutes with scales, L-sits, inversion (handstands), planks, and stretching (SLIPS).</p>

<p><a href=""https://www.crossfit.com/workout/2003/08/25#/comments"" target=""_blank"">Fran</a> (kipping!)<br />
21-15-9 reps for time of:<br />
Thrusters<br />
Pull-ups</p>

<p>♀ 65 lb. ♂ 95 lb.</p>

<p>Post time to comments.
Compare to <a href=""https://www.crossfit.com/workout/2017/11/17"" target=""_blank"">171117</a>.</p>
"
2019-05-09,"<p><strong><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"">CrossFit Total</a></strong></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190419"">190419</a>.</p>
"
2019-05-08,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-05-07,"<p>100 ft. of legless rope ascent in AFSAP<br />
L-sit for 2 minutes in AFSAP</p>

<p>AFSAP = As few sets as possible.
Count rope progress from where your hands begin to where your hands end on each climb.</p>

<p>Post number of sets for each to comments.</p>
"
2019-05-06,"<p>3 rounds for time of:</p>

<p>15 cleans<br />
15 thrusters<br />
1,000-m row</p>

<p>♀ <em>95 lb.</em> ♂ <em>135 lb.</em></p>

<p>Post time to comments.</p>
"
2019-05-05,"<p>Can you walk 400 meters carrying 50-lb. dumbbells (♀ 35-lb.)?</p>

<p>A) If not, how far can you go before setting them down?<br />
B) What are the heaviest dumbbells you can carry for 400 meters?</p>

<p>A $1,000 prize will be awarded for the heaviest successful 400-m carry (one for men and one for women). Do it on a track, upload video to YouTube, and post a link to <a href=""https://www.crossfit.com/190505"" target=""_blank"">190505 comments</a> by midnight, Sunday, May 12.</p>

<p>After the carry, practice controlled descents from a handstand for 10 minutes.</p>

<p>Post distance completed for A and load used for B to comments.</p>
"
2019-05-04,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-05-03,"<p>4 rounds for time of:</p>

<p>21 bench presses<br />
15 pull-ups<br />
400-m run</p>

<p><em>&#9792; 95 lb. &#9794; 135 lb.</em></p>

<p>Post time to comments.</p>
"
2019-05-02,"<p>Tabata squats</p>

<p>L-sit for 2 minutes in as few sets as possible (AFSAP)</p>

<p>The Tabata interval is 20 seconds of work followed by 10 seconds of rest for 8 intervals. Score is the least number of reps performed in any of the eight intervals.</p>

<p>Post Tabata score and number of sets to complete L-sit to comments.</p>
"
2019-05-01,"<p>Run or row 5,000 meters</p>

<p>Post time to comments | Compare to <a href=""https://www.crossfit.com/190411"" target=""_blank"">190411</a>.</p>
"
2019-04-30,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-29,"<p>Complete as many reps as possible in 12 minutes of:<br />
1 strict pull-up, 2 push-ups, 3 squats<br />
2 strict pull-ups, 4 push-ups, 6 squats<br />
3 strict pull-ups, 6 push-ups, 9 squats<br />
Etc.</p>

<p>Start at a higher round if you think it will allow you to complete more reps in the 12 minutes—e.g., 5-10-15, then 6-12-18, then 7-14-21, etc.
Post starting point, finishing point, and total reps completed to comments.</p>

<p>Compare to <a href=""https://www.crossfit.com/190101"" target=""_blank"">190101.</a></p>
"
2019-04-28,"<p>Back squat 1-1-1-1-1 reps</p>

<p>Then, practice for 5 minutes each, in any order:<br />
Stretching<br />
Plank holds<br />
L-sits<br />
Scales<br />
Handstand descents</p>

<p>Post loads to comments.</p>
"
2019-04-27,"<p>5 rounds for time of:</p>

<p>7 left-arm dumbbell rows<br />
7 right-arm dumbbell rows<br />
21 dumbbell bench presses<br />
500-m row</p>

<p><em>Men: 50-lb. dumbbells</em><br />
<em>Women: 35-lb. dumbbells</em></p>

<p>Post time to comments.</p>
"
2019-04-26,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-25,"<p>Complete as many rounds as possible in 12 minutes of:<br />
5 strict muscle-ups<br />
20 walking lunges</p>

<p>Then, practice for 5 minutes each, in any order:<br />
Stretching<br />
Plank holds<br />
L-sits<br />
Scales<br />
Handstand descents</p>

<p>Post rounds completed to comments.</p>
"
2019-04-24,"<p>Clean and jerk 1-1-1-1-1 reps</p>

<p>Then, practice for 5 minutes each, in any order:<br />
Stretching<br />
Plank holds<br />
L-sits<br />
Scales<br />
Handstand descents</p>

<p>Post loads to comments.</p>
"
2019-04-23,"<p>Complete as many rounds as possible in 20 minutes of:</p>

<p>5 strict L pull-ups<br />
10 ring dips<br />
15 single-leg squats</p>

<p>Post rounds completed to comments.</p>
"
2019-04-22,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-21,"<p><strong>Fight Gone Bad!</strong></p>

<p>3 rounds for max reps of:<br />
1 minute of wall-ball shots<br />
1 minute of sumo deadlift high pulls<br />
1 minute of box jumps<br />
1 minute of push presses<br />
1 minute of rowing (calories)<br />
Rest 1 minute</p>

<p><em>Men: 20-lb. ball to 10 ft., 75-lb. SDHP and press, 20-in. box</em><br />
<em>Women: 14-lb. ball to 9 ft., 55-lb. SDHP and press, 20-in. box</em></p>

<p>Post total reps to comments | Compare to <a href=""https://www.crossfit.com/190126"" target=""_blank"">190126</a>.</p>
"
2019-04-20,"<p>3 rounds for time of:</p>

<p>500-m row<br />
100 double-unders<br />
20 thrusters</p>

<p><em>Men: 65 lb.</em><br />
<em>Women: 45 lb.</em></p>

<p>Post time to comments.</p>
"
2019-04-19,"<p><strong><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"">CrossFit Total</a></strong></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190330"">190330</a>.</p>
"
2019-04-18,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-17,"<p>12 minutes of stretching<br />
12 minutes of L-sit practice<br />
12 minutes of handstand practice<br />
12 minutes of plank practice<br />
12 minutes of scales practice</p>
"
2019-04-16,"<p>For time:</p>

<p>1,000-m row<br />
50 strict pull-ups<br />
1,000-m row<br />
100 push-ups<br />
1,000-m row<br />
150 squats</p>

<p>Post time to comments.</p>
"
2019-04-15,"<p>3 rounds for time:</p>

<p>12 left-hand Turkish get-ups<br />
12 right-hand Turkish get-ups<br />
3 legless rope climbs, 15-ft. rope</p>

<p><em>Men: 50-lb. dumbbell</em><br />
<em>Women: 35-lb. dumbbell</em></p>

<p>Post time to comments.</p>
"
2019-04-14,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-13,"<p>5 rounds for time of:</p>

<p>9 deadlifts<br />
5 squat cleans<br />
3 thrusters</p>

<p><em>Men: 135 lb.</em><br />
<em>Women: 95 lb.</em></p>

<p>Post time to comments.</p>
"
2019-04-12,"<p><strong>Cindy</strong></p>

<p>Complete as many rounds as possible in 20 minutes of:<br />
5 pull-ups<br />
10 push-ups<br />
15 squats</p>

<p>Post rounds completed to comments.</p>

<p>Compare to <a href=""https://www.crossfit.com/workout/2005/04/24#/comments"" target=""_blank""> 050424</a>.</p>
"
2019-04-11,"<p>Run or row 5,000 meters.</p>

<p>Stretch and practice handstands for 20 minutes.</p>

<p>Post time to comments.</p>
"
2019-04-10,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-09,"<p>Deadlift 5-3-3-1-1-1 reps.</p>

<p>Practice scales and planks for 20 minutes.</p>

<p>Post loads to comments.</p>
"
2019-04-08,"<p>3 rounds for time of:</p>

<p>15 power snatches<br />
15 thrusters<br />
1,000-m row</p>

<p><em>Men: 95 lb.</em><br />
<em>Women: 65 lb.</em></p>

<p>Post time to comments.</p>
"
2019-04-07,"<p>5 rounds for time of:</p>

<p>1 L-sit rope climb, 15 ft.<br />
35 strict push-ups</p>

<p>Post time to comments.</p>
"
2019-04-06,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-05,"<p>Alternating-arm dumbbell row 1-1-1-1-1-1-1-1 reps<br />
(8 reps per arm)</p>

<p>Practice controlled descent from handstands for 15 minutes.</p>

<p>Row 2,000 meters.</p>

<p>Post loads to comments.</p>
"
2019-04-04,"<p>3 rounds for time of:</p>

<p>20 walking lunges<br />
30 wall-ball shots<br />
40 triple-unders</p>

<p><em>Men: 20-lb. ball to 10 ft.</em><br />
<em>Women: 14-lb. ball to 9 ft.</em></p>

<p>Post time to comments.</p>
"
2019-04-03,"<p>3 rounds for time of:</p>

<p>5 strict L pull-ups<br />
15 strict push-ups<br />
5 strict L pull-ups<br />
15 strict push-ups<br />
Row 750 meters</p>

<p>Post time to comments.</p>
"
2019-04-02,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-01,"<p>Dumbbell press 5-3-3-1-1-1 reps</p>

<p>Practice scales for 10 minutes.</p>

<p>Post loads to comments.</p>
"
2019-03-31,"<p>Practice L-sits for 10 minutes.</p>

<p>Row 5,000 meters for time.</p>

<p>Stretch for 10 minutes.</p>

<p>Post row time to comments.</p>
"
2019-03-30,"<p><strong><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"">CrossFit Total</a></strong></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190310"">190310</a>.</p>
"
2019-03-29,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-28,"<p>5 rounds for time of:</p>

<p>Lunge 30 feet<br />
15 pull-ups<br />
30 push-ups</p>

<p>Take as few steps as possible for the lunges, and be super strict on the pull-ups and push-ups.</p>

<p>Post time to comments.</p>
"
2019-03-27,"<p>Overhead squat 5-3-3-1-1-1 reps<br />
Stretch for 10 minutes.<br />
Practice slow descent from handstand for 10 minutes.</p>

<p>Post loads to comments.</p>
"
2019-03-26,"<p>3 rounds for time of:</p>

<p>5 strict muscle-ups<br />
1 minute of L-sit</p>

<p>Post time to comments.</p>
"
2019-03-25,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-24,"<p>For time:</p>

<p>Row 1,000 meters<br />
Rest 2 minutes<br />
Row 1,000 meters<br />
Rest 2 minutes<br />
Row 1,000 meters</p>

<p>Post time to comments.</p>
"
2019-03-23,"<p>Deadlift 5-3-3-1-1-1 reps</p>

<p>Practice slow descent from handstand for 20 minutes.</p>

<p>Post loads to comments.</p>
"
2019-03-22,"<p><a href=""https://games.crossfit.com/"">Open Workout 19.5</a></p>

<p>33-27-21-15-9 reps for time of:</p>

<p>Thrusters<br />
Chest-to-bar pull-ups</p>

<p><em>Men 95 lb.</em><br />
<em>Women 65 lb.</em></p>

<p>Post time or reps to comments, and/or submit your score as part of the <a href=""https://games.crossfit.com/"">2019 Reebok CrossFit Games Open</a>.</p>
"
2019-03-21,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-20,"<p>Power clean 5-3-3-1-1-1 reps.</p>

<p>Practice the L-sit for 10 minutes.</p>

<p>Practice front and back scales for 10 minutes.</p>

<p>Post loads to comments.</p>
"
2019-03-19,"<p>For time:</p>

<p>Row 500 meters<br />
21 thrusters<br />
Row 1,000 meters<br />
15 thrusters<br />
Row 500 meters<br />
21 thrusters</p>

<p><em>Men: 135 lb.</em><br />
<em>Women: 95 lb.</em></p>

<p>Post time to comments.</p>
"
2019-03-18,"<p>3 rounds for max reps of:</p>

<p>Body-weight bench presses<br />
Strict pull-ups</p>

<p>Post reps completed to comments.</p>
"
2019-03-17,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-16,"<p>With constant motion and slowly:<br />
21 single-arm dumbbell rows, each arm<br />
9 ring dips (deep and strict)<br />
30 squats<br />
15 single-arm dumbbell rows, each arm<br />
12 ring dips<br />
30 squats<br />
9 single-arm dumbbell rows, each arm<br />
15 ring dips<br />
30 squats</p>

<p><em>Men: 50-lb. dumbbell</em><br />
<em>Women: 35-lb. dumbbell</em></p>

<p>Post to comments.</p>
"
2019-03-15,"<p><a href=""https://games.crossfit.com/"">Open Workout 19.4</a></p>

<p>For total time:</p>

<p>3 rounds of:<br />
   10 snatches<br />
   12 bar-facing burpees</p>

<p>Rest 3 minutes</p>

<p>Then, 3 rounds of:<br />
   10 bar muscle-ups<br />
   12 bar-facing burpees</p>

<p><em>Men: 95 lb.</em><br />
<em>Women: 65 lb.</em></p>

<p>Post time or reps to comments, and/or submit your score as part of the <a href=""https://games.crossfit.com/"">2019 Reebok CrossFit Games Open</a>.</p>
"
2019-03-14,"<p>10 minutes of scale practice<br />
10 minutes of handstand practice<br />
10 minutes of L-sit practice<br />
10 minutes of stretching</p>

<p>Post to comments.</p>
"
2019-03-13,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-12,"<p>Run 5,000 meters</p>

<p>Post time to comments | Compare to <a href=""https://www.crossfit.com/190214"" target=""_blank"">190214</a>.</p>
"
2019-03-11,"<p>3 rounds for time:</p>

<p>Row 500 meters<br />
15 strict pull-ups<br />
30 push-ups</p>

<p>Then,<br />
Practice L-sits for 10 minutes.</p>

<p>Post time to comments.</p>
"
2019-03-10,"<p><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"" target=""_blank"">CrossFit Total</a></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190118"" target=""_blank""> 190118</a>.</p>
"
2019-03-09,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-08,"<p><a href=""https://games.crossfit.com/"">Open Workout 19.3</a><br />
For time:<br />
200-ft. dumbbell overhead lunge<br />
50 dumbbell box step-ups<br />
50 strict handstand push-ups<br />
200-ft. handstand walk</p>

<p><em>Men: 50-lb. dumbbell / 24-in. box</em><br />
<em>Women: 35-lb. dumbbell / 20-in. box</em></p>

<p>Post reps to comments, and/or submit your score as part of the <a href=""https://games.crossfit.com/"">2019 Reebok CrossFit Games Open</a>.</p>
"
